dataset,tree_type,flip_percentage,parameters,fold,accuracy
Ionosphere,CART,40,1000,3,0.6590909090909091
Ionosphere,CART,40,10000,3,0.6590909090909091
Ionosphere,CART,40,100000,3,0.6590909090909091
Ionosphere,CART,40,1e-05,4,0.47126436781609193
Ionosphere,CART,40,0.0001,4,0.47126436781609193
Ionosphere,CART,40,0.001,4,0.47126436781609193
Ionosphere,CART,40,0.01,4,0.47126436781609193
Ionosphere,CART,40,0.1,4,0.632183908045977
Ionosphere,CART,40,1,4,0.632183908045977
Ionosphere,CART,40,10,4,0.632183908045977
Ionosphere,CART,40,100,4,0.632183908045977
Ionosphere,CART,40,1000,4,0.632183908045977
Ionosphere,CART,40,10000,4,0.632183908045977
Ionosphere,CART,40,100000,4,0.632183908045977
MONK's,CART,20,1e-05,1,0.7222222222222222
MONK's,CART,20,0.0001,1,0.7222222222222222
MONK's,CART,20,0.001,1,0.7222222222222222
MONK's,CART,20,0.01,1,0.7222222222222222
MONK's,CART,20,0.1,1,0.5370370370370371
MONK's,CART,20,1,1,0.5370370370370371
MONK's,CART,20,10,1,0.5370370370370371
MONK's,CART,20,100,1,0.5370370370370371
MONK's,CART,20,1000,1,0.5370370370370371
MONK's,CART,20,10000,1,0.5370370370370371
MONK's,CART,20,100000,1,0.5370370370370371
MONK's,CART,20,1e-05,2,0.6759259259259259
MONK's,CART,20,0.0001,2,0.6759259259259259
MONK's,CART,20,0.001,2,0.6759259259259259
MONK's,CART,20,0.01,2,0.7685185185185185
MONK's,CART,20,0.1,2,0.4537037037037037
MONK's,CART,20,1,2,0.4537037037037037
MONK's,CART,20,10,2,0.4537037037037037
MONK's,CART,20,100,2,0.4537037037037037
MONK's,CART,20,1000,2,0.4537037037037037
MONK's,CART,20,10000,2,0.4537037037037037
MONK's,CART,20,100000,2,0.4537037037037037
MONK's,CART,20,1e-05,3,0.7222222222222222
MONK's,CART,20,0.0001,3,0.7222222222222222
MONK's,CART,20,0.001,3,0.7222222222222222
MONK's,CART,20,0.01,3,0.7870370370370371
MONK's,CART,20,0.1,3,0.5370370370370371
MONK's,CART,20,1,3,0.5370370370370371
MONK's,CART,20,10,3,0.5370370370370371
MONK's,CART,20,100,3,0.5370370370370371
MONK's,CART,20,1000,3,0.5370370370370371
MONK's,CART,20,10000,3,0.5370370370370371
MONK's,CART,20,100000,3,0.5370370370370371
MONK's,CART,20,1e-05,4,0.6851851851851852
MONK's,CART,20,0.0001,4,0.6851851851851852
MONK's,CART,20,0.001,4,0.6851851851851852
MONK's,CART,20,0.01,4,0.7222222222222222
MONK's,CART,20,0.1,4,0.5277777777777778
MONK's,CART,20,1,4,0.5277777777777778
